NOM DU MUSEE;REF MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES;DATE APPELLATION;Date retrait appellation par Haut Conseil;REGION;DEPARTEMENT;coordonnees_finales
Musée Léon Marès;7415201;Château de Montrottier 60, Allée du Château;74330;LOVAGNY;450462302;450461148;http://www.chateaudemontrottier.com;Du 15 octobre au 15 mars;Ouvert du 15 mars au 15 octobre de 9h30 à 12h et de 14h à 18h;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;45.9569347655,6.04448277364
Musée Pyrénéen;6528601;Château fort;65100;LOURDES;562423737;562423744;http://www.chateaufort-lourdes.fr;1er janvier, 1er & 11 novembre, 25 décembre;Ouvert de janvier à mi-avril de 10h à 18h, le lundi de 10h à 17h, de mi-avril à mi-octobre de 10h à 19h  et de mi-octobre à fin décembre de 10h à 18h et le lundi de 10h à 17h;;01/02/2003;;OCCITANIE;HAUTES-PYRENEES;43.095689,-0.048488
Musée du Château-Fort;840901;Cour du château;8208;SEDAN;324299880;324292562;http://www.chateau-fort-sedan.fr;25 décembre et 1er janvier;Ouvert tous les jours de 10h à 17h et en juillet-août de 10h à 18h;de juin à septembre;01/02/2003;;GRAND EST;ARDENNES;
Château-Musée de Gien : chasse, histoire et nature en Val de Loire;4515501;Château de Gien B.P. 99;45503;GIEN;238676969;238380732;http://www.château-gien.com;25 décembre et en janvier;Ouvert du 1er février au 31 mars et du 1er octobre au 31 décembre de 14h à 17h et du 1er avril au 30 juin et du 1er au 30 septembre de 13h30 à 18h, en juillet/août tous les jours de 13h30 à 18h;;01/02/2003;;CENTRE-VAL DE LOIRE;LOIRET;
Musée National des Châteaux de Malmaison et de Bois-Préau;9206301;Avenue du Château de Malmaison;92500;RUEIL-MALMAISON;141290555;141290556;http://www.chateau-malmaison.fr;25 décembre, 1er janvier;Ouvert du mercredi au lundi du 1er octobre au 31 mars de 10h à 12h30 et de 13h30 à 17h15, week-end 17h45, du 1er avril au 30 septembre de 10h à 12h30 et de 13h30 à 17h45, week-end 18h15. Ouverture du parc du 1er octobre au 31 mars de 10h à 18h et du 1er a;;06/01/2002;;ÎLE-DE-France;HAUTS DE SEINE;48.872881,2.169064
Musée du Rhône;732401;14, Place Auguste Faure;7300;TOURNON-SUR-RHÔNE;475081030;475078398;http://www.chateaumusee-tournon.com;du 21 décembre au 19 mars, 1er mai;Ouvert du 20 mars au 23 décembre tous les jours de 14h à 18h, en juillet-août tous les jours de 10h à 19h, et de novembre au 23 décembre, du jeudi au mardi de 14h à 17h30;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;ARDECHE;45.067885,4.831823
Musée du Château des Ducs de Bretagne;4410904;4, Place Marc Elder;44000;NANTES;811464644;240486281;http://www.château-nantes.fr;1er janvier, 1er mai, 1er novembre et 25 décembre;Ouvert du 2 janvier au 30 juin et du 1er septembre au 31 décembre de 10h30 à 18h du mardi au dimanche, et en juillet-août tous les jours de 10h à 19h;;01/02/2003;;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;47.216353,-1.549389
Musée de la Marine de Loire;4508201;Ecuries du Château 1, Place Aristide Briand;45110;CHATEAUNEUF-SUR-LOIRE;238468446;238464101;http://www.chateauneuf-sur-loire.com;1er janvier, 1er mai, 25 décembre;Ouvert du mercredi au lundi du 1er avril au 31 octobre de 10h à 18h et du 1er novembre au 31 mars de 14h à 18h;°;01/02/2003;;CENTRE-VAL DE LOIRE;LOIRET;47.8743242491,2.26314688236
Musées de Châteauroux - Hôtel Bertrand;3604401;2, Rue Descente-des-Cordeliers;36000;CHATEAUROUX;254611230;254611231;http://www.chateauroux-metropole.fr;Janvier et jours fériés sauf 14 juillet, 15 août et 1er novembre. D'octobre à décembre pour le couvent des cordeliers et sur rdv toute l'année pour la maison des ATP;Ouvert du mardi au dimanche d'octobre à mai de 14h à 18h et de juin à septembre de 10h à 12h et de 14h à 18h, le week-end de 10h à 12h30 et de 14h à 18h. Le Couvent des Cordeliers est ouvert lors des manifestations ou expositions et la maison des ATP sur;;01/02/2003;;CENTRE-VAL DE LOIRE;INDRE;46.813737,1.694262
Château-Musée;4932802;;49400;SAUMUR;241402440;241402449;http://www.chateau-saumur.com;;Ouvert du mardi au dimanche et les lundis fériés du 1er avril au 14 juin et du 16 septembre au 2 novembre de 10h à 13h et de 14h à 17h30 et du 15 juin au 15 septembre tous les jours de 10h à 18h30;;01/02/2003;;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.258651,-0.079223
Etablissement Public du Musée et du Domaine National de Versailles;7864602;1 Rue de l'Indépendance Américaine;78000;VERSAILLES;130837588;130837721;http://www.chateauversailles.fr;Certains jours fériés;Ouvert du 1er novembre au 31 mars du mardi au dimanche de 9h à 17h30 et du 1er avril au 31 octobre de 9h à18h30;Samedi de 18h30 à 22h;06/01/2002;;ÎLE-DE-France;YVELINES;48.803136,2.121586
Musée des Traditions Populaires et d'Archéologie;8607001;3, Rue St-Pierre B.P. 90064;86300;CHAUVIGNY;549463545;549463545;http://www.chauvigny-patrimoine.fr;20 décembre au 3 janvier;Ouvert de novembre à mars samedi et dimanche et jours fériés de 14h à 18h, du 1er avril au 14 juin et 1er septembre au 31 octobre tous les jours 14h à 18h, du 15 juin au 31 août du lundi au vendredi de 10h à 12h30 et de 14h30 à 18h30, le samedi de 14h30 à;;01/02/2003;;NOUVELLE-AQUITAINE;VIENNE;46.547665049,0.687527272819
Musée Municipal de Chelles Alfred Bonno;7710801;Place de la République;77500;CHELLES;164726580;164728520;http://www.chelles.fr/Culture/Musee-Alfred-Bonno;Août et congés de Noël;Ouvert jusqu'au 31 août 2016 le mercredi de 10h à 12H et de 14h à 18h, et le dimanche de 14h à 17h depuis le 1er septembre 2016 ouvert le mercredi de 14h à 18h et le 3ème dimanche du mois avec atelier de 15h à 18h;;01/02/2003;;ÎLE-DE-France;SEINE ET MARNE;48.877773,2.591799
Centre Historique Minier, Musée de la Mine, Centre d'Archives, Centre de Culture Scientifique de l'Energie;5934501;Fosse Delloye B.P. 30039;59287;LEWARDE;327958282;327958283;http://www.chm-lewarde.com;Janvier, 1er mai, 25 décembre;Ouvert de novembre à février du lundi au samedi de 13h à 19h, dimanche, vacances scolaires et jours fériés de 10h à 19h, de mars à mi-novembre tous les jours de 9h à 19h30. Accueil des groupes à partir de 8h sur réservation.;;01/02/2003;;HAUTS-DE-France;NORD;50.3426420903,3.15765827403
Centre d'Histoire de la Résistance et de la Déportation;6938701;14, Avenue Berthelot;69007;LYON;472739900;472733298;http://www.chrd.lyon.fr;;Ouvert du mercredi au dimanche de 10h à 18h;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.747037,4.835797
Musée d'Art et d'Histoire de l'Hôpital Sainte-Anne;7511403;1, Rue Cabanis;75014;PARIS;145658541;;http://www.ch-sainte-anne.fr;;Ouvert du mercredi au dimanche de 14h à 19h lors des expositions uniquement;;26/05/2016;;ÎLE-DE-France;PARIS;48.830264,2.340376
Musée des Hospices Civils de Lyon;6938201;Hôtel Dieu 1, Place de l'Hôpital;69002;LYON;472413042;472413142;http://www.chu-lyon.fr/internet/chu/musee/presentation_musee.htm;;Fermé pour travaux;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;RHÔNE;45.7483660735,4.825926093
Musée Comtois;2505604;LA CITADELLE Rue des Fusillés;25000;BESANCON;381878316;381878306;http://www.citadelle.com;1er janvier, 25 décembre;Ouvert de novembre à mars de 10h à 16h45 et d'avril à octobre de 9h à 17h45 (18 h 45 en juillet et août);;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;DOUBS;47.2552328934,6.01938051129
Muséum de Besançon;2505607;La Citadelle Rue des Fusillés de la Résistance;25000;BESANCON;381878305;381878306;http://www.citadelle.com;25 décembre, 1er janvier;Ouverture de la Citadelle du mercredi au lundi du 2 janvier au 29 mars de 10h à 17h, du 30 mars au 4 juillet tlj de 9h à 18h, du 5 juillet au 24 août tlj de 9h à 19h, du 25 août au 25 octobre tlj de 9h à 18h, du 26 octobre au 5 novembre tlj de 10h à 17h30;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;DOUBS;47.2552328934,6.01938051129
Musée de la résistance et de la Déportation;2505605;La Citadelle Rue des Fusillés;25000;BESANCON;381878312;381878313;http://www.citadelle.com;1er janvier, 25 décembre;Ouvert de novembre à mars du mercredi au lundi de 10h à 16h45, d'avril à mai et de septembre à octobre tous les jours de 9h à 17h45 et en juillet août tous les jours de 9h à 18h45;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;DOUBS;47.2552328934,6.01938051129
Cité International de la Bande Dessinée et de l'Image - Musée de la Bande Dessinée;1601504;121, Rue de Bordeaux B.P. 72308;16023;ANGOULEME;545386565;545386551;http://www.citebd.org;1er janvier, 1er mai, 25 décembre;Ouvert de septembre à juin du mardi au vendredi de 10h à 18h, samedi, dimanche et jours fériés de 14h à 18h,  en juillet-août de 10h à 19h, samedi, dimanche, 14 juillet et 15 août de 14h à 19h;;01/02/2003;;NOUVELLE-AQUITAINE;CHARENTE;
Cité Internationale de la Dentelle et de la Mode de Calais;6219302;135, Quai du Commerce;62100;CALAIS;321004230;;http://www.cite-dentelle.fr;Du 1er au 15 janvier inclus, 1er mai,  25 décembre;Ouvert du 1er avril au 31 octobre du mercredi au lundi de 10h à 18h, et du 1er novembre au 31 mars du mercredi au lundi de 10h à 17h;;16/11/2015;;HAUTS-DE-France;PAS-DE-CALAIS;50.950474,1.860013
Cité du Train;6822405;2, rue Alfred de Glehn;68200;MULHOUSE;389428333;389424182;http://www.citedutrain.com;25 décembre;Ouvert tous les jours du 1er janvier au 11 avril  de 10h à 17h, du 12 avril au 11 novembre de 10h à 18h et du 12 novembre au 31 décembre de 10h à 17h;;18/11/2002;;GRAND EST;HAUT-RHIN;47.732511,7.311808
Musée Départemental de la Tapisserie;2300801;B.P. 89 Avenue des Lissiers;23200;AUBUSSON;555830830;555830839;http://www.cite-tapisserie.fr;25 décembre, 1er janvier;Ouvert du mercredi au lundi de 9h30 à 12h et de 14h à 18h de septembre à juin, en juillet-août de 10h à 18h sauf mardi matin;;17/06/2002;;NOUVELLE-AQUITAINE;CREUSE;45.9607828765,2.18895520996
Muséum d'Histoire Naturelle Henri-Lecoq;6311303;15, rue Bardoux;63000;CLERMONT-FERRAND;473423200;473423201;http://www.clermont-ferrand.fr/-Museum-Henri-Lecoq-.html;Jours fériés;Ouvert d'octobre à avril du mardi au samedi de 10h à 12h et de 14h à 17h dimanche de 14h à 17h, du 1er mai au 30 septembre de 10h à 12h et de 14h à 18h;;06/01/2002;;AUVERGNE-RHÔNE-ALPES;PUY DE DÔME;45.774138,3.088299
Musée d'Archéologie Bargoin;6311301;45, rue Ballainvilliers;63000;CLERMONT-FERRAND;473426970;473929010;http://www.clermontmetropole.eu/-Musee-Bargoin-.html;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du mardi au samedi de 10h à 12h et de 13h à 17h, le dimanche de 14h à 19h;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;PUY DE DÔME;45.774229,3.0869
Centre National du Costume de Scène et de la Scénographie;319002;Quartier Villars Route de montilly;3000;MOULINS;470207620;470342304;http://www.cncs.fr;25 décembre, 1erjanvier, 1er mai et lors du montage des expositions;Ouvert tous les jours de 10h à 18h, en juillet-août de 10h à 18h30;;19/11/2009;;AUVERGNE-RHÔNE-ALPES;ALLIER;46.5704726367,3.27970202933
Musée National de l'Automobile - Collection Schlumpf;6822403;192, Avenue de Colmar CS 91096;68051;MULHOUSE;389332323;389320809;http://www.citedelautomobile.com/;25 décembre;Ouvert du 1er au 4 janvier de 10h à 17h du 5 janvier au 5 février de 14h à 17h le week-end de 10h à 17h, du 6 février au 2 avril de 10h à 17h, du 3 avril au 29 octobre de 10h à 17h, du 30 octobre au 31 décembre de 10h à 17h;;01/02/2003;;GRAND EST;HAUT-RHIN;
Musée Départemental d'Archéologie Précolombienne et de Préhistoire de la Martinique;9720901;9, rue de la Liberté;97200;FORT-DE-FRANCE;596715705;596730380;http://www.collectivitedemartinique.mq;;Ouvert le lundi de 13h à 17h,  du mardi au vendredi de 8h à 17h, le samedi de 9h à 17h;;01/02/2003;;MARTINIQUE;MARTINIQUE;14.60331,-61.068675
Musée d'Art Moderne - Fonds Peskè;6605301;Villa Pams Route de Port-Vendres;66190;COLLIOURE;468821019;468821019;http://www.collioure.mobi/museedartmoderne/;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert tous les jours du 1er juin au 30 septembre de 10h à 12h et de 14h à 18h et du mercredi au lundi de 10h à 12h et de 14h à 18h du 1er octobre au 31 mai;;01/02/2003;;OCCITANIE;PYRENEES ORIENTALES;42.5131451113,3.0728014531
Musée du Château;1451201;Château de Pontécoulant;14110;PONTECOULANT;231696254;231696254;http://www.condeintercom.fr;Mi-novembre à mi-mars;Ouvert de la mi-mars à la mi-novembre tous les jours de 10h à 12h30 et de 14h à 18h;;01/02/2003;;NORMANDIE;CALVADOS;48.897,-0.587616
Musée Industriel de la Corderie Vallois;7647401;185, Route de Dieppe;76960;NOTRE-DAME-DE-BONDEVILLE;235743535;235745845;http://www.corderievallois.fr;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert tous les jours de 13h30 à 18h;;01/02/2003;;NORMANDIE;SEINE-MARITIME;49.494507,1.048567
Collections de la Fondation de Coubertin;7857501;Domaine de Coubertin;78470;SAINT-REMY-LES-CHEVREUSE;130856960;130856999;http://www.coubertin.fr;;Musée et parc ouverts pour tous pendant la période d'exposition et le JEP et le reste de l'année sur RDV pour les groupes (visites scolaires et visites-conférences). Exposition 2010 ouverte du vendredi au dimanche de 13h à 18h30;;01/02/2003;;ÎLE-DE-France;YVELINES;48.701169,2.06008
Musée Gallé-Juillet;6017501;Place François Miterrand;60100;CREIL;344295150;344295276;http://www.creil.fr;Jours fériés;Ouvert du mercredi au samedi 14h à 17h avec des visites guidées obligatoires à 14h, 15h et 16h, le dimanche à 14h30 à 17h30. Pour les groupes le mardi, et mercredi, jeudi, vendredi et samedi le matin sur rendez-vous;;01/02/2003;;HAUTS-DE-France;OISE;49.260793,2.473388
Crypte Archéologique du Parvis Notre-Dame;7510403;7, Place Jean Paul II Parvis Notre-Dame;75004;PARIS;155425010;143293055;http://www.crypte.paris.fr;Jours fériés;Ouvert de 10h à 18h;;08/07/2004;;ÎLE-DE-France;PARIS;48.8542262543,2.35736312527
Musée Municipal;5206001;Pôle Culturel - Médiathèque-musée de France Parc du Château;52400;BOURBONNE-LES-BAINS;325906947;325906940;http://www.culture.gouv.fr/champagne-ardenne/2culture/musee_france/musee_bourbonne.html;Semaine de Noël;Ouvert  du mardi, mercredi, vendredi de 14h à 18h, et le samedi de 10h à 16h;;01/02/2003;;GRAND EST;HAUTE-MARNE;47.9435382189,5.71676869059
Musée du Feutre;831101;Mairie;8210;MOUZON;324265076;324262773;http://www.culture.gouv.fr/champagne-ardenne/2culture/musee_france/musee_mouzon.html;Octobre à avril;Ouvert tous les jours de mai à septembre de 14h à 18h, en avril et octobre les W.E. et jours fériés de 14h à 18h. Tous les jours sur réservation pour les groupes;;01/02/2003;;GRAND EST;ARDENNES;49.628853,5.062746
Musée des A.T.P. de Moyenne Provence;8305003;75, Place Georges Brassens;83300;DRAGUIGNAN;494470572;494473949;http://www.culture-dracenie.com;1er janvier, 1er mai, 25 décembre;Ouvert du mardi au samedi de 9h à 12h et de 14h à 18h;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.538282,6.463862
Musée Joseph Denais;4902101;5, Place Notre-Dame;49250;BEAUFORT-EN-VALLEE;241571316;241797461;http://www.damm49.fr;3 novembre au 1er avril;Ouvert du 2 au 17 avril du mardi au dimanche de 14h0 à 18h, du 18 avril au 18 juin week-ends et jours fériés de 14h30 à 18h, du 18 juin au 18 septembre du mardi au dimanche de 10h30 à 12h30 et de 14h30 à 18h, du 19 septembre au 18 octobre week-ends et jou;;06/10/2002;;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.44022,-0.217749
Musée d'Art et d'Histoire;4901801;Château du Roi René d'Anjou place de l'Europe;49150;BAUGE;241826811;241821219;http://www.damm49.fr;Janvier, février,mars;Ouvert du 1er au 16 mars et du 12 avril au 15 juin du mercredi au dimanche de 14h à 18h du 16 juin au 31 août tous les jours de 10h à 12h30 et de 13h30 à 18h;;01/02/2003;;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.5402607075,-0.0974658784366
Musée Régional de Géologie Pierre Vetter;1208901;Avenue Paul Ramadier;12300;DECAZEVILLE;565433008;565433008;http://www.decazeville.fr;;Ouvert du mardi au samedi de 10h à 12h et de 14h à 18h;;01/02/2003;;OCCITANIE;AVEYRON;44.555599,2.266268
Musée des Tumulus de Bougon;7904201;"Lieu dit ""La Chapelle""";79800;BOUGON;549051213;549051405;http://www.deux-sevres.com/musee-bougon;Janvier à fin mars;Ouvert en avril et octobre du mardi au vendredi de 10h à 17h30, samedi et dimanche de 13h à 17h30 (basse saison) et de mai à septembre du mardi au dimanche de 10h à 18h30;;01/02/2003;;NOUVELLE-AQUITAINE;DEUX-SEVRES;46.374565,-0.067433
Muséum - Jardin des Sciences;2123105;Parc de l'Arquebuse 14, Rue Jehan de Marville - 1 Avenue Albert 1er;21000;DIJON;380488200;380488205;http://www.dijon.fr;1er janvier, 8 mai, 14 juillet, 1er et 11 novembre, 25 décembre;Ouvert le lundi et du mercredi au dimanche de 9h à 12h30 et de 14h à 18h, de 14h à 18h les jours fériés. Le mardi ouvert sur réservation pour les groupes;;06/01/2002;;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.3229417955,5.03751223305
"Musée Municipal ""Eburomagus Musée Archéologique""";1104901;2, Avenue du Razès;11150;BRAM;468789119;468765687;http://www.eburomagus.com;De novembre à mars;Ouvert d'avril à juin, septembre à octobre du mercredi au dimanche de 10h à 12h et de 14h à 18h. En juillet-août tous les jours de 10h à 12h et de 14h à 19h. De novembre à mars ouvert sur rendez-vous pour les groupes et scolaires;;05/07/2012;;OCCITANIE;AUDE;43.243772,2.116173
Musée de l'Ecole de Nancy;5439501;36-38, rue du Sergent Blandan;54000;NANCY;383401486;383408331;http://www.ecole-de-nancy.com;1er janvier, 1er mai, 14 juillet, 1er novembre, 25 décembre;Ouvert du mercredi au dimanche de 10h à 18h. Le premier Dimanche de chaque mois de 10h30 à 13h30;;01/02/2003;;GRAND EST;MEURTHE ET MOSELLE;48.680494,6.166351
Ecomusée d'Alsace;6834301;B.P. 71;68190;UNGERSHEIM;389744474;389744465;http://www.ecomusee.alsace;Décembre, janvier, février. Fermé les 17,18,31 mars, les 1, 21, 22, 28, 29 avril et 6, 7, 13, 14,20 ,21 octobre;Ouvert de fin  mars au 1er novembre de 10h à 18h, en de mars à  juin et de septembre à décembre, du 1er au 11 juillet et du 19 août au 1er septembre de 10h à 18h et du 12 juillet au 18 août  de 10h à 21h;;01/02/2003;;GRAND EST;HAUT-RHIN;47.8612458222,7.34670995091
Ecomusée de la Région;5924901;Place Maria Blondeau;59610;FOURMIES;327606611;327608888;http://www.ecomusee-avesnois.fr;Du 15 décembre  au 31 janvier;Ouvert de février à début décembre du mardi au vendredi de 9h30 à 12h et de 14h à 18h, week-end et jours fériés de 14h30 à 18h30;;01/02/2003;;HAUTS-DE-France;NORD;50.017669,4.042771
Ecomusée du Pays de Montfort;3518801;2, Rue du Château;35160;MONTFORT-SUR-MEU;299093181;299093276;http://www.ecomusee-broceliande.com;;Ouvert du mardi au vendredi de 9h à 12h et de 14h à 18h toute l'année du 1er avril au 30 septembre du mardi au vendredi et le samedi, dimanche et jours fériés de 14h à 18h;;01/02/2003;;BRETAGNE;ILE ET VILAINE;48.137716,-1.956162
Musée de l'Homme et de l'Industrie - Ecomusée de la Communauté Le Creusot-Monceau-Les-Mines;7115301;Château de la Verrerie B.P. 53;71202;LE CREUSOT;385739200;385739209;http://www.ecomusee-creusot-montceau.fr;1er mai, 1 et 11 novembre, 23 au 25 décembre et du 30 au 31 décembre;Ouvert en basse saison en semaine de 10h à 12h et de 14h à 16h45, week-end et jours fériés  de 14h à 16h. En juillet, août, d'avril à juin et septembre en semaine de 10h à 12h et de 14h à 18h, week-end et jours fériés de 14h à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;
Musée de la Mine;7104001;34, rue du Bois Clair;71450;BLANZY;385682285;385681665;http://www.ecomusee-creusot-montceau.fr;;d'avril à fin octobre les samedi, dimance et jours fériés de 14h à 19h30 de juillet à fin août tous les jours sauf le mardi de 14h à 19h30;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.701488,4.382962
Ecomusée de la Bresse Bourguignonne;7135101;Château départemental;71270;PIERRE-DE-BRESSE;385762716;385728433;http://www.ecomusee-de-la-bresse.com;1er mai, deux premières semaines de janvier;Ouvert du lundi au vendredi de 10h à 12h et de 14h à 18h, le samedi et dimanche de 14h à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.88301,5.262064
Musée du Terroir;7137301;La Ferme du Champ Bressan 3928 Route des Alpes Le Bourg;71470;ROMENAY;385304583;385728433;http://www.ecomusee-de-la-bresse.com;;Ouvert du 18 mai au 30 octobre du mercredi au lundi de 10h à 12h et de 14h à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.5407527997,5.13778374719
"L'Atelier d'un Journal"" de Louhans - Musée Municipal";7126301;29, Rue des Dodânes;71500;LOUHANS;385760341;385728433;http://www.ecomusee-de-la-bresse.com;Semaine de Noël et jour de l'an;Ouvert du 1er mars au 30 décembre, le lundi, jeudi, vendredi de 11 h à 18h ainsi que le samedi de 9h à 12h et de 14 h à 18h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.630508,5.224504
Ecomusée de Margeride-Haute-Auvergne;1516801;La Tour Jardin de Saint-Martin;15320;RUYNES-EN-MARGERIDE;471234296;471234580;http://www.ecomuseedemargeride.fr;Décembre et janvier;Ouvert tous les jours en juin et septembre tous les jours de 14h à 18h et en juillet aôut tous les jours de 10h à 13h et de 15h à 19h;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;CANTAL;44.9755512909,3.25916489345
Musée Départemental des Arts et Traditions Populaires du Perche;6137901;Prieuré de Sainte-Gaubruge;61130;SAINT-CYR LA ROSIERE;233734806;233731894;http://www.ecomuseeduperche.fr;24 décembre au 13 janvier;Ouvert toute l'année d'avril à septembre de 10h30 à 18h30 et d'octobre à mars de 10h30 à 17h30 en semaine et le W.E. et jours fériés de 14h à 17h30;;01/02/2003;;NORMANDIE;ORNE;48.324573,0.654353
Ecomusée du Pays de la Cerise;7024501;206, Le Petit Fahyr;70220;FOUGEROLLES;384495250;384495203;http://www.ecomusee-fougerolles.fr;;Ouvert du 15 février au 30 juin et du 1er septembre au 15 novembre, du mercredi au lundi de 14h à 18h. En juillet et août, tous les jours de 11h à 19h;;01/02/2003;;BOURGOGNE-FRANCHE-COMTE;HAUTE-SAONE;47.907071,6.401161
Ecomusée du Marais Breton Vendéen;8501201;Le Daviaud;85550;LA BARRE-DE-MONTS;251938484;251492670;http://www.ecomusee-ledaviaud.com;11 novembre;Ouvert de mars à mai du mercredi au dimanchei de 14h à 18h ,mai, juin et septembre ouvert du mercredi au dimanche de 14h à 18h30. Juillet-août tlj de 10h à 19h30 le samedi de 14h à 19h30;;01/02/2003;;PAYS DE LA LOIRE;VENDEE;46.875553,-2.102855
Ecomusée des Monts d'Arrée - Maison Cornec;2926101;Maison Cornec;29190;RIVOAL;298688776;298688551;http://www.ecomusee-monts-arree.fr;;Ouvert lors du rendez-vous au jardin en juin de 14h à 18h, en juillet-août tous les jours de 11h à 19h;;01/02/2003;;BRETAGNE;FINISTERE;48.2519856293,-3.95679953662
Ecomusée des Monts d'Arrée - Moulins de Kerouat;2903801;Moulins de Kerouat;29450;COMMANA;298688776;298688551;http://www.ecomusee-monts-arree.fr;;Ouvert du 2 mars au 31 mai et 1er septembre au 31 octobre du lundi au vendredi de 10h à 18h, dimanche et jours fériés de 14h à 18h, en juin 11h à 18h, juillet/août de 11h à 19h tous les jours, Vacances scolaires, Noël, Février, Toussaint du lundi au vendr;;01/02/2003;;BRETAGNE;FINISTERE;48.415821,-4.006179
Ecomusée du Pays de Rennes;3523803;Ferme de la Bintinais Route de Noyal-Châtillon-sur-Seiche;35200;RENNES;299513815;299518288;http://www.ecomusee-rennes-metropole.fr;16 au 31 janvier, jours fériés;Ouvert du 1er avril au 30 septembre du mardi au vendredi de 9h à18h (salles d'expos fermées entre 12h et 14h), samedi de 14h à 18h et dimanche de 14h à 19h, du 1er octobre au 31 mars du mardi au vendredi de 9h à 12h et de 14h à 18h, samedi de 14h à 18h et;;01/02/2003;;BRETAGNE;ILE ET VILAINE;48.1116364246,-1.6816378334
Ecomusée du Pays de la Roudoule;609801;Placette de l'Europe;6260;PUGET-ROSTANG;493051325;493051325;http://www.ecomusee-roudoule.fr;Vacances scolaires de Noël et première semaine de janvier;Ouvert de mai à septembre du mardi au dimanche de 10h à 12h et 14h à 18h, d'octobre à avril du mardi au vendredi de 10h  à 12h et 14h à 18h sur rendez-vous le week-end;;01/02/2003;;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.973638,6.91786
Ecomusée de Saint-Dégan;5602301;;56400;BREC'H;297576600;297575226;http://www.ecomusee-st-degan.fr;1er et 11 novembre, 24, 25 30 et 31 décembre;Ouvert de février à fin novembre, et vacances scolaires de Noël du lundi au vendredi de 14h à 17h30 et certains dimanches selon programme d'animations, en juillet et août tous les jours de 10h à 19h;;01/02/2003;;BRETAGNE;MORBIHAN;47.720736,-2.989176
Musée Rural;4231801;Quartier Saint-Joseph Place Félix Folléas;42550;USSON-EN-FOREZ;477506797;477506887;http://www.ecomusee-usson-en-forez.fr;1er janvier et 25 décembre;Ouvert tous les jours de 14h à 18h. Ouverture possible le matin pour les groupe;;01/02/2003;;AUVERGNE-RHÔNE-ALPES;LOIRE;45.3920060669,3.94898861156
Ecomusée du Val de Bièvre;9403401;Ferme de Cottinville 41, rue Maurice Ténine;94260;FRESNES;141243224;146681033;http://www.ecomusee-valdebievre.fr;Août - 1er janvier, 1er mai, 25 décembre;Ouvert mercredi, samedi de 10h à 12h et de 14h à 18h, mardi, jeudi, vendredi et dimanche de 14h à 18h;;01/02/2003;;ÎLE-DE-France;VAL DE MARNE;48.7570286866,2.32584996209
Ecomusée du Véron;3724201;80, Route de Candes;37420;SAVIGNY-EN-VERON;247580905;247580615;http://www.ecomusee-veron.fr;1er mai, 1er novembre, du 23 décembre au 8 janvier. De la fin des vacances de la Toussaint jusqu'au début des vacances de Pâques pour les individuels;Ouvert du 15 avril au 31 mai et du 1er octobre au 5 novembre de 10h à 12h30 et de 14h à 18h en semaine et de 14h à 18h les week-ends et jours fériés. Du 1er juin au 30 septembre de 10h à 12h30 et de 14h à 18h, ouverture jusquà 19h les week-ends et jours f;;18/07/2002;;CENTRE-VAL DE LOIRE;INDRE ET LOIRE;47.209697,0.124427
Musée Municipal d'Epernay;5123001;13, Avenue de Champagne;51200;EPERNAY;326519031;326519031;http://www.epernay.fr/equipement-service-municipal/le-futur-musee-regional-darcheologie-et-du-vin-de-champagne;;;;01/02/2003;;GRAND EST;MARNE;49.042901,3.961379
